Source,Target,Weight
beginning,god,1
beginning,created,1
beginning,heaven,1
god,created,4
god,heaven,3
god,earth,4
created,heaven,1
created,earth,2
heaven,earth,4
heaven,form,1
earth,earth,2
earth,form,2
earth,void,2
earth,darkness,1
form,void,1
form,darkness,1
form,face,1
void,darkness,1
void,face,1
void,deep,1
darkness,face,1
darkness,deep,1
darkness,spirit,1
face,deep,1
face,spirit,1
face,god,2
deep,spirit,1
deep,god,1
deep,moved,1
spirit,god,1
spirit,moved,1
spirit,face,1
god,moved,1
god,face,1
god,waters,4
moved,face,1
moved,waters,1
moved,god,1
face,waters,1
face,said,1
waters,god,5
waters,said,1
waters,let,3
god,said,11
god,let,8
god,light,4
said,let,8
said,light,2
let,light,2
let,god,1
light,light,2
light,god,6
light,saw,3
god,saw,7
god,good,6
saw,light,1
saw,good,7
saw,god,4
light,good,1
light,divided,1
good,god,4
good,divided,1
good,light,1
god,divided,2
god,darkness,1
divided,light,1
divided,darkness,1
divided,god,1
light,darkness,3
light,called,2
darkness,god,2
darkness,called,2
darkness,light,1
god,called,3
god,day,1
called,light,1
called,day,1
called,darkness,1
light,day,3
day,darkness,1
day,called,1
day,night,3
darkness,night,1
darkness,evening,1
called,night,1
called,evening,2
called,morning,1
night,evening,1
night,morning,1
night,day,1
evening,morning,6
evening,day,6
evening,god,2
morning,day,6
morning,god,5
morning,said,2
day,god,5
day,said,5
day,let,6
god,firmament,4
said,firmament,2
said,midst,1
let,firmament,3
let,midst,1
let,waters,5
firmament,midst,1
firmament,waters,3
firmament,let,1
midst,waters,1
midst,let,1
midst,divide,1
waters,divide,1
waters,waters,3
let,divide,1
divide,waters,2
divide,god,2
waters,firmament,5
waters,divided,1
firmament,divided,1
firmament,firmament,3
divided,waters,2
divided,firmament,1
firmament,god,3
waters,called,2
firmament,called,1
called,firmament,1
called,heaven,1
firmament,heaven,5
firmament,evening,1
firmament,morning,1
heaven,evening,1
heaven,morning,1
heaven,second,1
evening,second,1
morning,second,1
second,day,1
second,god,1
second,said,1
said,waters,2
said,heaven,1
let,heaven,3
let,gathered,1
waters,heaven,1
waters,gathered,1
waters,unto,1
heaven,gathered,1
heaven,unto,1
heaven,place,1
gathered,unto,1
gathered,place,1
gathered,let,1
unto,place,1
unto,let,1
unto,dry,1
place,let,1
place,dry,1
place,land,1
let,dry,1
let,land,1
let,appear,1
dry,land,2
dry,appear,1
dry,god,1
land,appear,1
land,god,1
land,called,1
appear,god,1
appear,called,1
appear,dry,1
god,dry,1
god,land,1
called,dry,1
called,land,1
called,earth,1
dry,earth,1
dry,gathering,1
land,earth,1
land,gathering,1
land,waters,1
earth,gathering,1
earth,waters,1
earth,called,1
gathering,waters,1
gathering,called,1
gathering,seas,1
waters,seas,2
called,seas,1
called,god,1
called,saw,1
seas,god,1
seas,saw,1
seas,good,1
god,god,4
saw,said,2
good,said,2
good,let,2
said,earth,2
said,bring,3
let,earth,3
let,bring,3
let,forth,3
earth,bring,2
earth,forth,4
earth,grass,2
bring,forth,3
bring,grass,1
bring,herb,1
forth,grass,2
forth,herb,2
forth,yielding,2
grass,herb,2
grass,yielding,2
grass,seed,2
herb,yielding,2
herb,seed,3
herb,fruit,1
yielding,seed,5
yielding,fruit,3
yielding,tree,2
seed,fruit,1
seed,tree,3
seed,yielding,2
fruit,tree,2
fruit,yielding,2
fruit,fruit,1
tree,yielding,4
tree,fruit,3
tree,kind,1
yielding,kind,2
fruit,kind,2
fruit,seed,3
fruit,itself,2
kind,seed,1
kind,itself,1
kind,earth,3
seed,itself,2
seed,earth,3
itself,earth,2
itself,brought,1
earth,brought,2
brought,forth,2
brought,grass,1
brought,herb,1
herb,kind,1
seed,kind,2
kind,tree,1
kind,yielding,1
kind,fruit,1
tree,seed,2
yielding,itself,1
seed,god,1
itself,kind,1
itself,god,1
itself,saw,1
kind,god,4
kind,saw,3
kind,good,3
god,evening,2
saw,evening,2
saw,morning,2
good,evening,3
good,morning,3
good,day,1
god,lights,2
said,lights,1
let,lights,2
lights,firmament,2
lights,heaven,2
lights,divide,1
firmament,divide,1
firmament,day,1
heaven,divide,1
heaven,day,1
heaven,night,1
divide,day,1
divide,night,1
divide,let,1
day,signs,1
night,let,1
night,signs,1
night,seasons,1
let,signs,1
let,seasons,1
let,days,1
signs,seasons,1
signs,days,1
signs,years,1
seasons,days,1
seasons,years,1
seasons,let,1
days,years,1
days,let,1
days,lights,1
years,let,1
years,lights,1
years,firmament,1
lights,light,2
firmament,light,2
firmament,earth,2
heaven,light,2
heaven,god,2
light,earth,2
light,great,1
earth,god,5
earth,great,1
earth,lights,1
god,great,2
god,greater,1
great,lights,1
great,greater,1
great,light,1
lights,greater,1
lights,rule,1
greater,light,1
greater,rule,1
greater,day,1
light,rule,3
light,lesser,1
rule,day,2
rule,lesser,1
rule,light,1
day,lesser,1
day,light,2
day,rule,1
lesser,light,1
lesser,rule,1
lesser,night,1
light,night,1
light,stars,1
rule,night,2
rule,stars,1
rule,god,1
night,stars,1
night,god,1
night,set,1
stars,god,1
stars,set,1
stars,firmament,1
god,set,1
set,firmament,1
set,heaven,1
set,light,1
heaven,rule,1
earth,rule,1
earth,day,1
earth,night,1
rule,divide,1
day,divide,1
night,divide,1
night,light,1
night,darkness,1
divide,light,1
divide,darkness,1
darkness,saw,1
darkness,good,1
good,fourth,1
evening,fourth,1
morning,fourth,1
fourth,day,1
fourth,god,1
fourth,said,1
waters,bring,1
waters,forth,2
waters,abundantly,2
bring,abundantly,1
bring,moving,1
forth,abundantly,2
forth,moving,1
forth,creature,2
abundantly,moving,1
abundantly,creature,1
abundantly,hath,1
moving,creature,1
moving,hath,1
moving,life,1
creature,hath,1
creature,life,1
creature,fowl,1
hath,life,1
hath,fowl,1
hath,fly,1
life,fowl,1
life,fly,1
life,earth,1
fowl,fly,1
fowl,earth,3
fowl,open,1
fly,earth,1
fly,open,1
fly,firmament,1
earth,open,1
earth,firmament,1
earth,heaven,1
open,firmament,1
open,heaven,1
open,god,1
firmament,created,1
heaven,created,1
heaven,great,1
god,whales,1
created,great,1
created,whales,1
created,living,1
great,whales,1
great,living,1
great,creature,1
whales,living,1
whales,creature,1
whales,moveth,1
living,creature,2
living,moveth,2
living,waters,1
creature,moveth,1
creature,waters,1
creature,brought,1
moveth,waters,1
moveth,brought,1
moveth,forth,1
waters,brought,1
brought,abundantly,1
brought,kind,1
forth,kind,2
forth,winged,1
abundantly,kind,1
abundantly,winged,1
abundantly,fowl,1
kind,winged,1
kind,fowl,1
kind,kind,2
winged,fowl,1
winged,kind,1
winged,god,1
fowl,kind,1
fowl,god,1
fowl,saw,1
saw,blessed,1
good,blessed,1
good,saying,1
god,blessed,2
god,saying,1
god,fruitful,2
blessed,saying,1
blessed,fruitful,1
blessed,multiply,1
saying,fruitful,1
saying,multiply,1
saying,waters,1
fruitful,multiply,2
fruitful,waters,1
fruitful,seas,1
multiply,waters,1
multiply,seas,1
multiply,let,1
waters,fowl,1
seas,let,1
seas,fowl,1
seas,multiply,1
let,fowl,1
let,multiply,1
fowl,multiply,1
fowl,evening,1
multiply,earth,2
multiply,evening,1
multiply,morning,1
earth,evening,1
earth,morning,1
earth,fifth,1
evening,fifth,1
morning,fifth,1
fifth,day,1
fifth,god,1
fifth,said,1
earth,living,1
bring,living,1
bring,creature,1
forth,living,1
living,kind,1
living,cattle,1
creature,kind,1
creature,cattle,1
creature,creeping,1
kind,cattle,2
kind,creeping,1
kind,thing,3
cattle,creeping,2
cattle,thing,3
cattle,beast,1
creeping,thing,2
creeping,beast,1
creeping,earth,2
thing,beast,1
thing,earth,5
thing,kind,2
beast,earth,3
beast,kind,2
beast,god,1
earth,kind,4
earth,beast,1
kind,beast,1
god,beast,1
god,kind,1
beast,cattle,1
earth,cattle,1
cattle,kind,1
cattle,creepeth,1
kind,creepeth,1
thing,creepeth,3
creepeth,earth,3
creepeth,kind,1
creepeth,god,2
earth,saw,1
god,make,1
said,make,1
said,man,1
let,make,1
let,man,1
let,image,1
make,man,1
make,image,1
make,likeness,1
man,image,3
man,likeness,1
man,let,1
image,likeness,1
image,let,1
image,dominion,1
likeness,let,1
likeness,dominion,1
likeness,fish,1
let,dominion,1
let,fish,1
let,sea,1
dominion,fish,2
dominion,sea,2
dominion,fowl,2
fish,sea,2
fish,fowl,2
fish,air,2
sea,fowl,2
sea,air,2
sea,cattle,1
fowl,air,3
fowl,cattle,1
air,cattle,1
air,earth,2
air,creeping,1
cattle,earth,1
earth,creeping,1
earth,thing,2
earth,creepeth,1
creeping,creepeth,1
thing,god,2
creepeth,created,1
earth,created,1
earth,man,1
god,man,1
god,image,1
created,man,1
created,image,2
man,god,1
image,image,1
image,god,2
image,created,2
image,male,1
god,male,1
god,female,1
created,male,1
created,female,1
created,created,1
male,female,1
male,created,1
male,god,1
female,created,1
female,god,1
female,blessed,1
created,god,2
created,blessed,1
blessed,god,1
blessed,said,1
blessed,unto,1
god,unto,1
said,unto,1
said,fruitful,1
said,multiply,1
unto,fruitful,1
unto,multiply,1
unto,replenish,1
fruitful,replenish,1
fruitful,earth,1
multiply,replenish,1
multiply,subdue,1
replenish,earth,1
replenish,subdue,1
replenish,dominion,1
earth,subdue,1
earth,dominion,1
earth,fish,1
subdue,dominion,1
subdue,fish,1
subdue,sea,1
sea,living,1
fowl,living,1
fowl,thing,2
air,living,1
air,thing,2
air,moveth,1
living,thing,1
living,earth,1
thing,moveth,1
moveth,earth,1
moveth,god,1
moveth,said,1
earth,said,1
earth,behold,1
god,behold,2
god,given,1
said,behold,1
said,given,1
said,herb,1
behold,given,1
behold,herb,1
behold,bearing,1
given,herb,2
given,bearing,1
given,seed,1
herb,bearing,1
herb,face,1
bearing,seed,1
bearing,face,1
bearing,earth,1
seed,face,1
face,earth,1
face,tree,1
face,fruit,1
earth,tree,2
earth,fruit,1
tree,tree,1
tree,shall,1
yielding,shall,1
yielding,meat,1
seed,shall,1
seed,meat,1
seed,beast,1
shall,meat,1
shall,beast,1
shall,earth,1
meat,beast,1
meat,earth,1
meat,fowl,1
beast,fowl,1
beast,air,1
earth,fowl,1
earth,air,1
fowl,creepeth,1
air,creepeth,1
thing,life,1
creepeth,life,1
creepeth,given,1
earth,life,1
earth,given,1
earth,green,1
life,given,1
life,green,1
life,herb,1
given,green,1
given,meat,1
green,herb,1
green,meat,1
green,god,1
herb,meat,1
herb,god,1
herb,saw,1
meat,god,1
meat,saw,1
meat,thing,1
god,thing,1
saw,thing,1
saw,behold,1
thing,behold,1
thing,good,1
thing,evening,1
behold,good,1
behold,evening,1
behold,morning,1
good,sixth,1
evening,sixth,1
morning,sixth,1
sixth,day,1
